UI_English,UI_French,Currency
Malagasy Ariary,Ariary Malgache,MGA
Norwegian Kroner,Couronne norvégienne,NOK
Swedish Krona,Couronne suédoise,SEK
UAE Dirham,Dirham des EAU,AED
US Dollar,Dollar américain,US$
Australian Dollar,Dollar australien,AU$
Canadian Dollar,Dollar canadien,CA$
Hong Kong Dollar,Dollar de Hong Kong,HK$
Singapore Dollar,Dollar de Singapour,SG$
New Zealand Dollar,Dollar néo-zélandais,NZ$
Euro,Euro,€
Swiss Franc,Franc suisse,CHF
British Pound,Livre sterling,UK£
South African Rand,Rand sud-africain,ZAR
Chinese Yuan Renminbi,Renminbi Yuan Chinois,CNY
Saudi Riyal,Riyal saoudien,SAR
Indian Rupee,Roupie indienne,INR
Mauritian Rupee,Roupie mauricienne,MUR
Kenyan Shilling,Shilling kenyan,KES
Uganda Shilling,Shilling ougandais,UGX
Japanese Yen,Yen japonais,Yn
